conversion_type,from,to,multiply_by,from_symbol,to_symbol
Volume,US Pint,Liter,0.473176,us pt,l
Volume,US Pint,Milliliter,473.176,us pt,ml
Volume,US Pint,US Cup,2,us pt,us c
Volume,US Pint,US Gallon,0.125,us pt,us gal
Volume,US Pint,US Ounce,16,us pt,us oz
Volume,US Pint,US Quart,0.5,us pt,us qt
Volume,US Pint,US Tablespoon,32,us pt,us tbsp
Volume,US Pint,US Teaspoon,96,us pt,us tsp
Volume,US Quart,Cubic Foot,0.0334201,us qt,cu ft
Volume,US Quart,Cubic Inch,57.75,us qt,cu in
Volume,US Quart,Cubic Meter,0.000946353,us qt,cu m
Volume,US Quart,Imperial Gallon,0.208168,us qt,imp gal
Volume,US Quart,Imperial Ounce,33.307,us qt,imp oz
Volume,US Quart,Imperial Pint,1.66535,us qt,imp pt
Volume,US Quart,Imperial Quart,0.832674,us qt,imp qt
Volume,US Quart,Imperial Tablespoon,53.2911,us qt,imp tbsp
Volume,US Quart,Imperial Teaspoon,159.873,us qt,imp tsp
Volume,US Quart,Liter,0.946353,us qt,l
Volume,US Quart,Milliliter,946.353,us qt,ml
Volume,US Quart,US Cup,4,us qt,us c
Volume,US Quart,US Gallon,0.25,us qt,us gal
Volume,US Quart,US Ounce,32,us qt,us oz
Volume,US Quart,US Pint,2,us qt,us pt
Volume,US Quart,US Tablespoon,64,us qt,us tbsp
Volume,US Quart,US Teaspoon,192,us qt,us tsp
Volume,US Tablespoon,Cubic Foot,0.00052219,us tbsp,cu ft
Volume,US Tablespoon,Cubic Inch,0.902344,us tbsp,cu in
Volume,US Tablespoon,Cubic Meter,0.000014787,us tbsp,cu m
Volume,US Tablespoon,Imperial Gallon,0.00325263,us tbsp,imp gal
Volume,US Tablespoon,Imperial Ounce,0.520421,us tbsp,imp oz
Volume,US Tablespoon,Imperial Pint,0.0260211,us tbsp,imp pt
Volume,US Tablespoon,Imperial Quart,0.0130105,us tbsp,imp qt
Volume,US Tablespoon,Imperial Tablespoon,0.832674,us tbsp,imp tbsp
Volume,US Tablespoon,Imperial Teaspoon,2.49802,us tbsp,imp tsp
Volume,US Tablespoon,Liter,0.0147868,us tbsp,l
Volume,US Tablespoon,Milliliter,14.7868,us tbsp,ml
Volume,US Tablespoon,US Cup,0.0625,us tbsp,us c
Volume,US Tablespoon,US Gallon,0.00390625,us tbsp,us gal
Volume,US Tablespoon,US Ounce,0.5,us tbsp,us oz
Volume,US Tablespoon,US Pint,0.03125,us tbsp,us pt
Volume,US Tablespoon,US Quart,0.015625,us tbsp,us qt
Volume,US Tablespoon,US Teaspoon,3,us tbsp,us tsp
Volume,US Teaspoon,Cubic Foot,0.000174063,us tsp,cu ft
Volume,US Teaspoon,Cubic Inch,0.300781,us tsp,cu in
Volume,US Teaspoon,Cubic Meter,4.9289E-06,us tsp,cu m
Volume,US Teaspoon,Imperial Gallon,0.00108421,us tsp,imp gal
Volume,US Teaspoon,Imperial Ounce,0.173474,us tsp,imp oz
Volume,US Teaspoon,Imperial Pint,0.00867369,us tsp,imp pt
Volume,US Teaspoon,Imperial Quart,0.00433684,us tsp,imp qt
Volume,US Teaspoon,Imperial Tablespoon,0.277558,us tsp,imp tbsp
Volume,US Teaspoon,Imperial Teaspoon,0.832674,us tsp,imp tsp
Volume,US Teaspoon,Liter,0.00492892,us tsp,l
Volume,US Teaspoon,Milliliter,4.92892,us tsp,ml
Volume,US Teaspoon,US Cup,0.0208333,us tsp,us c
Volume,US Teaspoon,US Gallon,0.00130208,us tsp,us gal
Volume,US Teaspoon,US Ounce,0.166667,us tsp,us oz
Volume,US Teaspoon,US Pint,0.0104167,us tsp,us pt
Volume,US Teaspoon,US Quart,0.00520833,us tsp,us qt
Volume,US Teaspoon,US Tablespoon,0.333333,us tsp,us tbsp
